seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S149,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S120,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S144,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S142,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S143,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S132,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S113,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S134,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S104,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S118,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S107,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S105,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S145,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S141,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S119,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S140,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S112,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S135,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S146,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S110,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S123,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S126,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S114,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S147,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S129,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S103,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S128,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S122,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S139,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S124,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S111,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S148,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S117,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S108,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S116,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S133,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S130,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S137,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S115,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S100,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S138,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S150,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S125,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S101,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S109,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S102,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S127,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S106,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S131,I1009057,Dyson Vacuum Cleaner,Home Appliances,65960.56,2997.5,1.977167786E8
S144,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S127,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S121,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S116,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S150,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S101,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S125,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S131,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S133,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S123,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S111,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S146,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S117,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S142,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S139,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S129,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S134,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S107,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S140,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S103,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S126,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S143,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S119,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
S136,I398327,Boat Smartwatch,Footwear,90041.445,969.5,8.729518092750001E7
