seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S100,I673284,Boat Smartwatch,Electronics,136382.02,3000.0,4.0914605999999994E8
S100,I75769,U.s. Polo T-shirt,Apparel,132465.67,3000.0,3.9739701000000006E8
S100,I948448,Skechers Gowalk,Footwear,125716.52,3000.0,3.7714956E8
S100,I251606,Allen Solly Formal Pants,Apparel,125649.24,3000.0,3.7694772E8
S100,I472801,Boat Smartwatch,Electronics,107372.44,3000.0,3.2211732E8
S100,I856414,Philips Air Fryer,Home Appliances,88314.86,3000.0,2.6494458E8
S100,I777227,Bajaj Mixer Grinder,Home Appliances,115255.98,2234.0,2.5748185932E8
S100,I389717,Levis Denim Jacket,Apparel,109347.16,2213.0,2.4198526508E8
S100,I409562,Samsung 55” Smart Tv,Home Appliances,78358.12,2804.0,2.1971616848E8
S100,I708193,Sony Wh-1000xm5 Headphones,Electronics,71235.33,3000.0,2.1370599E8
S101,I673284,Boat Smartwatch,Electronics,136382.02,3000.0,4.0914605999999994E8
S101,I75769,U.s. Polo T-shirt,Apparel,132465.67,3000.0,3.9739701000000006E8
S101,I948448,Skechers Gowalk,Footwear,125716.52,3000.0,3.7714956E8
S101,I251606,Allen Solly Formal Pants,Apparel,125649.24,3000.0,3.7694772E8
S101,I472801,Boat Smartwatch,Electronics,107372.44,3000.0,3.2211732E8
S101,I856414,Philips Air Fryer,Home Appliances,88314.86,3000.0,2.6494458E8
S101,I777227,Bajaj Mixer Grinder,Home Appliances,115255.98,2234.0,2.5748185932E8
S101,I389717,Levis Denim Jacket,Apparel,109347.16,2213.0,2.4198526508E8
S101,I409562,Samsung 55” Smart Tv,Home Appliances,78358.12,2804.0,2.1971616848E8
S101,I708193,Sony Wh-1000xm5 Headphones,Electronics,71235.33,3000.0,2.1370599E8
S102,I673284,Boat Smartwatch,Electronics,136382.02,3000.0,4.0914605999999994E8
S102,I75769,U.s. Polo T-shirt,Apparel,132465.67,3000.0,3.9739701000000006E8
S102,I948448,Skechers Gowalk,Footwear,125716.52,3000.0,3.7714956E8
S102,I251606,Allen Solly Formal Pants,Apparel,125649.24,3000.0,3.7694772E8
S102,I472801,Boat Smartwatch,Electronics,107372.44,3000.0,3.2211732E8
S102,I856414,Philips Air Fryer,Home Appliances,88314.86,3000.0,2.6494458E8
S102,I777227,Bajaj Mixer Grinder,Home Appliances,115255.98,2234.0,2.5748185932E8
S102,I389717,Levis Denim Jacket,Apparel,109347.16,2213.0,2.4198526508E8
S102,I409562,Samsung 55” Smart Tv,Home Appliances,78358.12,2804.0,2.1971616848E8
S102,I708193,Sony Wh-1000xm5 Headphones,Electronics,71235.33,3000.0,2.1370599E8
S103,I673284,Boat Smartwatch,Electronics,136382.02,3000.0,4.0914605999999994E8
S103,I75769,U.s. Polo T-shirt,Apparel,132465.67,3000.0,3.9739701000000006E8
S103,I948448,Skechers Gowalk,Footwear,125716.52,3000.0,3.7714956E8
S103,I251606,Allen Solly Formal Pants,Apparel,125649.24,3000.0,3.7694772E8
S103,I472801,Boat Smartwatch,Electronics,107372.44,3000.0,3.2211732E8
S103,I856414,Philips Air Fryer,Home Appliances,88314.86,3000.0,2.6494458E8
S103,I777227,Bajaj Mixer Grinder,Home Appliances,115255.98,2234.0,2.5748185932E8
S103,I389717,Levis Denim Jacket,Apparel,109347.16,2213.0,2.4198526508E8
S103,I409562,Samsung 55” Smart Tv,Home Appliances,78358.12,2804.0,2.1971616848E8
S103,I708193,Sony Wh-1000xm5 Headphones,Electronics,71235.33,3000.0,2.1370599E8
S104,I673284,Boat Smartwatch,Electronics,136382.02,3000.0,4.0914605999999994E8
S104,I75769,U.s. Polo T-shirt,Apparel,132465.67,3000.0,3.9739701000000006E8
S104,I948448,Skechers Gowalk,Footwear,125716.52,3000.0,3.7714956E8
S104,I251606,Allen Solly Formal Pants,Apparel,125649.24,3000.0,3.7694772E8
S104,I472801,Boat Smartwatch,Electronics,107372.44,3000.0,3.2211732E8
S104,I856414,Philips Air Fryer,Home Appliances,88314.86,3000.0,2.6494458E8
S104,I777227,Bajaj Mixer Grinder,Home Appliances,115255.98,2234.0,2.5748185932E8
S104,I389717,Levis Denim Jacket,Apparel,109347.16,2213.0,2.4198526508E8
S104,I409562,Samsung 55” Smart Tv,Home Appliances,78358.12,2804.0,2.1971616848E8
S104,I708193,Sony Wh-1000xm5 Headphones,Electronics,71235.33,3000.0,2.1370599E8
S105,I75769,U.s. Polo T-shirt,Apparel,132465.67,3000.0,3.9739701000000006E8
S105,I948448,Skechers Gowalk,Footwear,125716.52,3000.0,3.7714956E8
S105,I251606,Allen Solly Formal Pants,Apparel,125649.24,3000.0,3.7694772E8
S105,I472801,Boat Smartwatch,Electronics,107372.44,3000.0,3.2211732E8
S105,I856414,Philips Air Fryer,Home Appliances,88314.86,3000.0,2.6494458E8
S105,I777227,Bajaj Mixer Grinder,Home Appliances,115255.98,2234.0,2.5748185932E8
S105,I409562,Samsung 55” Smart Tv,Home Appliances,78358.12,2804.0,2.1971616848E8
S105,I708193,Sony Wh-1000xm5 Headphones,Electronics,71235.33,3000.0,2.1370599E8
S105,I969106,Dyson Vacuum Cleaner,Home Appliances,60459.77,1606.0,9.709839061999999E7
