item_id,units_sold,revenue,sale_date,dataset_name,dq_failure_reason,quarantine_timestamp
I847054,1375,1.4521163262E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847641,491,9182709.67,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847580,600,3.824455665E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I846861,1951,1.6357244632E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847516,1190,3.195398778E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847228,1243,1.1632136783E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847511,1297,1.8334195244E8,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847517,1816,6.279998463E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847469,1824,3.280950611E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847004,1482,5.321410949E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847296,1915,4.96721676E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I846933,1188,6.070690013E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847009,534,2.664885321E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847238,706,7.612890135E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I847140,1794,1.5815385904E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I848800,1138,1.5844728571E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I849268,279,5330068.7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I862524,1539,1.1024378879E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I866600,1731,2.928345232E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I869136,1886,1.910641215E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I872683,69,5083287.75,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I885646,1179,5.449520257E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I894656,1399,1.6558508664E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I921799,1167,4.886343725E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I924364,1488,0.0,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I931073,1111,1.0398424739E8,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I933867,1858,1.7624645178E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I951704,1873,8.339276104E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I954248,777,1.1605314197E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I955836,1203,5.665265831E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I957800,1544,1.8891524925E8,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I969765,585,3949372.8,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I972606,301,3.961294202E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I974838,973,672440.09,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I975861,1648,1.5418863875E8,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I977694,1274,1.020512276E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I980140,1778,1.9928682427E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I981121,216,1.083316562E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I991635,1354,6.484280578E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I999640,1788,2.0555400785E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I1000870,920,1.3431235734E8,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I1002782,1070,1.104374804E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I1003177,481,5.628678472E7,2030-01-01,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I1009022,1774,6.031505292E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I1009052,1668,2.723538529E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I851777,1498,7.805916371E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
I854340,196,1.449839581E7,,company_sales,invalid_sale_date,2025-11-18T16:14:38.577237
