seller_id,item_id,units_sold,revenue,marketplace_price,sale_date,dataset_name,dq_failure_reason,quarantine_timestamp
,I298610,2113,2.955682032E8,37000.0,2025-10-10,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I301710,817,1.0226095689E8,139941.48,2025-09-30,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I301960,291,1.611802996E7,101689.82,2025-09-04,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I302075,1726,1.0579159662E8,87305.2,2025-09-09,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I314411,2779,1.1756327248E8,138208.53,2025-10-20,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I315908,344,4.429945741E7,149344.7,2025-09-27,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I317961,2577,2.3096999377E8,50983.41,2025-09-03,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I318551,1988,5.30953475E7,116917.31,2025-09-13,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I321943,417,5.769350794E7,100611.01,,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I323026,1220,5.6425926E7,134212.66,2025-10-27,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I342545,2130,6.277073833E7,137789.77,2025-09-27,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I352664,2033,1.2384295204E8,134263.69,2025-09-27,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I373644,0,6.007940815E7,110112.25,2025-09-12,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I387701,0,1.6298368587E8,43175.15,2025-10-31,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I403376,1319,5.80968203E7,128587.32,2025-10-22,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I404088,713,1.000898564E7,70641.42,2025-09-12,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I409074,1396,3.528472926E7,73313.95,2025-09-12,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I413641,2118,2.1498315797E8,59479.78,2025-09-09,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I413751,1773,7.91461386E7,88161.45,2025-09-20,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I415033,157,1.643771116E7,16766.9,2025-10-20,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I415322,2628,1.3535982152E8,83350.2,2025-10-29,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I456436,2589,2.0941893972E8,74535.41,2025-10-06,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I460325,0,1.4670328529E8,106852.95,2025-10-23,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I462741,1321,1.7909982922E8,70345.54,2025-09-11,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I470047,1102,1.3887260974E8,142814.31,2025-09-21,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I482883,797,6.876412869E7,52083.18,2025-09-04,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I483107,1824,9.123447521E7,124046.52,2025-10-18,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I539454,1709,1.0826485642E8,10060.22,2025-10-01,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I543842,697,369255.41,39077.17,2025-09-04,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I547408,2022,1.8504346972E8,24028.39,2025-09-05,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I547818,198,9467339.94,15286.19,2025-10-30,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I284259,475,3.755921358E7,102450.65,2025-09-01,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I284411,278,2.944807076E7,123598.04,2025-09-04,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I301084,2973,8.031681947E7,87323.84,2025-09-11,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I304497,1579,1.0556532455E8,85845.37,2025-10-06,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I306367,528,2.844437871E7,111257.64,2025-10-22,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I330043,789,1.221445422E7,111673.53,2025-10-01,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I353071,2290,1.1826176691E8,123036.95,2025-09-07,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I358971,919,8.093738045E7,75970.91,2025-10-09,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I362014,1779,1.2768115806E8,55754.66,2025-10-24,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I362077,1328,1.2360350988E8,19007.13,2025-10-09,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I432854,2983,4.3202550335E8,90671.9,2025-10-13,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I447433,2078,2.9613206339E8,-80483.71,2025-09-24,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
,I447598,2820,4.1965698086E8,70326.06,2025-10-17,competitor_sales,missing_seller_id,2025-11-17T08:06:22.065872
