seller_id,item_id,item_name,category,marketplace_price,stock_qty,dataset_name,dq_failure_reason,quarantine_timestamp
S100,I100434,Philips Air Fryer,Home Appliances,-42024.95,153,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I1006198,Levis Denim Jacket,Apparel,-103492.99,239,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I1008038,Apple Iphone 15 Pro,Electronics,-11856.48,370,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I10728,Adidas Ultraboost 23,Footwear,-62444.39,263,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I139802,Samsung Galaxy S24 Ultra,Electronics,-67995.92,56,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I145522,Boat Smartwatch,Electronics,-82800.64,175,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I146737,Samsung Galaxy S24 Ultra,Electronics,-144597.0,471,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I156732,Dell Xps 13 Laptop,Electronics,-133696.83,484,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I158522,Sony Wh-1000xm5 Headphones,Electronics,-107680.71,93,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I16064,Puma Running Shoes,Footwear,-6420.75,103,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I171808,Philips Air Fryer,Home Appliances,-111447.96,482,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I188327,,Footwear,-136250.89,306,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I199725,Dyson Vacuum Cleaner,Home Appliances,-6897.41,128,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I204259,,Electronics,-117221.47,459,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I217127,Lg 7kg Washing Machine,Home Appliances,-133230.35,349,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I220071,Levis Denim Jacket,Apparel,-65058.14,269,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I229631,,Footwear,-31910.37,273,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I234072,Reebok Nano X4,Footwear,-51694.18,104,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I255307,Levis Denim Jacket,Apparel,-41132.05,146,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I259569,Allen Solly Formal Pants,Apparel,-59914.35,203,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I260568,U.s. Polo T-shirt,Apparel,-96347.3,215,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I290493,U.s. Polo T-shirt,Apparel,-149372.98,146,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I297452,,Home Appliances,-39746.6,462,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I304133,Samsung Galaxy S24 Ultra,Electronics,-72203.2,462,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I310249,Philips Air Fryer,Home Appliances,-137949.78,62,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I326584,Allen Solly Formal Pants,Apparel,-15022.25,458,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I343828,Philips Air Fryer,Home Appliances,-70210.49,191,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I358352,Sony Wh-1000xm5 Headphones,Electronics,-116572.65,395,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I370769,Adidas Ultraboost 23,Footwear,-88237.53,409,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
S100,I37550,Apple Iphone 15 Pro,Electronics,-106059.54,159,seller_catalog,invalid_price,2025-11-18T15:58:48.274259
