seller_id,item_id,item_name,category,marketplace_price,stock_qty,dataset_name,dq_failure_reason,quarantine_timestamp
S100,I1003657,,Footwear,146968.36,45,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I109507,,Footwear,56919.62,472,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I113318,,Apparel,93413.74,499,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I123955,,Home Appliances,6577.52,451,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I132172,,Electronics,95331.5,201,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I141046,,Apparel,106410.84,78,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I154321,,Apparel,73651.24,23,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I158580,,Home Appliances,73921.41,38,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I165912,,Footwear,43243.27,355,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I173067,,Electronics,113150.45,363,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I191947,,Footwear,52695.47,11,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I200942,,Apparel,66265.43,29,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I208822,,Electronics,138648.51,68,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I251535,,Apparel,16616.63,293,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I271581,,Home Appliances,115403.75,457,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I294817,,Electronics,118227.09,209,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I31429,,Home Appliances,67639.79,64,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I326978,,Home Appliances,142304.89,220,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I327429,,Electronics,99704.09,391,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I329449,,Electronics,32898.1,389,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I333600,,Footwear,112867.66,173,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I365391,,Apparel,63123.82,448,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I376625,,Electronics,145709.68,465,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I387882,,Apparel,33647.58,267,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I391866,,Apparel,49851.52,217,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I422011,,Home Appliances,100478.92,120,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I432788,,Home Appliances,44405.93,53,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I446044,,Footwear,47533.37,46,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I457786,,Apparel,136335.27,376,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I474984,,Apparel,51190.15,162,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I479798,,Footwear,122322.44,218,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I485810,,Apparel,1489.57,186,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I489676,,Home Appliances,94004.59,20,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I497297,,Footwear,12332.38,442,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I498085,,Electronics,55312.93,30,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I49885,,Electronics,25907.97,477,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I500169,,Apparel,16853.52,410,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I502898,,Electronics,115661.39,263,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I535123,,Footwear,15156.27,173,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I541957,,Electronics,44009.57,239,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I54595,,Home Appliances,144932.99,383,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I556140,,Home Appliances,4171.2,158,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I573783,,Home Appliances,79938.83,213,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I593290,,Electronics,48235.34,338,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I599550,,Electronics,112770.34,66,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I606790,,Electronics,89524.7,308,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I609868,,Footwear,59042.38,125,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I616605,,Home Appliances,33404.23,322,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I621597,,Home Appliances,112611.2,84,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I634544,,Apparel,128150.64,322,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I640885,,Footwear,16335.15,431,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I656859,,Apparel,24333.44,89,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I661217,,Apparel,99707.87,296,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I70362,,Electronics,57652.8,460,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I708480,,Footwear,123626.93,231,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I724658,,Electronics,146328.18,394,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I738790,,Footwear,98936.59,42,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I743848,,Electronics,135206.87,453,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
S100,I765068,,Electronics,33506.86,334,seller_catalog,missing_item_name,2025-11-17T08:00:40.967288
