State Name,PC NO.,PC NAME,ELECTORS,MALE,FEMALE,OTHERS,TOTAL,NRI,,TOTAL VOTES,VOTER TURN OUT(%),MALE,FEMALE,OTHERS
Andhra Pradesh,1,Adilabad ,1386282,518481,525482,2,1043965,0,11628,1055593,76.1456182796863,75.4864578010142,75.2174653637114,1.38888888888889
Andhra Pradesh,2,Peddapalle ,1425355,520741,500992,14,1021747,0,3447,1025194,71.9255203089757,71.7872331626217,71.6293287466955,12.0689655172414
Andhra Pradesh,3,Karimnagar ,1550810,550760,569382,0,1120142,0,7083,1127225,72.6862091423192,70.8662835732171,73.6350127837217,0
Andhra Pradesh,4,Nizamabad,1496193,467172,559329,4,1026505,0,7527,1034032,69.1108700548659,64.497477655089,72.4944818656543,4.76190476190476
Andhra Pradesh,5,Zahirabad,1445354,546010,546798,0,1092808,0,6976,1099784,76.0909784039066,76.0717067196837,75.1767374716436,0
Andhra Pradesh,6,Medak,1536166,605044,583040,0,1188084,0,5464,1193548,77.6965510237826,78.0326371952596,76.6636380251855,0
Andhra Pradesh,7,Malkajgiri,3183083,877156,741285,0,1618441,0,6418,1624859,51.0467053482426,50.9230409291541,50.796534280988,0
Andhra Pradesh,8,Secundrabad,1893741,546289,457397,3,1003689,0,1074,1004763,53.0570442314973,53.9652888430964,51.9346758773543,1.35135135135135
Andhra Pradesh,9,Hyderabad,1823217,525811,445415,0,971226,0,544,971770,53.2997443529761,54.762338713289,51.6519605398805,0
Andhra Pradesh,10,Chelvella,2185164,695012,617108,0,1312120,0,10192,1322312,60.5131697208997,60.2910750797433,59.8082980393677,0
Andhra Pradesh,11,Mahbubnagar,1418668,509912,499391,1,1009304,0,6216,1015520,71.5826394900005,71.5496254221806,70.8001525477314,0.636942675159236
Andhra Pradesh,12,Nagarkurnool,1477305,569056,537781,28,1106865,0,9294,1116159,75.553727903175,76.4280840867944,73.4614286553406,18.5430463576159
Andhra Pradesh,13,Nalgonda,1494343,597237,583448,2,1180687,0,10980,1191667,79.7452124445325,80.0854173650687,77.9813656709735,4.44444444444444
Andhra Pradesh,14,Bhongir ,1492240,620408,588076,9,1208493,0,4245,1212738,81.2696349112743,81.9927523782085,79.9947765264717,15.5172413793103
Andhra Pradesh,15,Warangal,1537777,590443,580206,74,1170723,0,5930,1176653,76.5164910126761,76.5371782341214,75.767163984199,47.4358974358974
Andhra Pradesh,16,Mahabubabad  ,1387288,560443,560406,4,1120853,0,5765,1126618,81.2101020119831,81.4589095750479,80.1943303616147,5.06329113924051
Andhra Pradesh,17,Khammam ,1440267,586887,592349,0,1179236,0,9639,1188875,82.5454585851096,82.4184574248471,81.3884213491251,0
Andhra Pradesh,18,Aruku ,1272340,450038,456802,24,906864,0,6974,913838,71.8234119810742,72.4091382270269,70.2735549217426,29.6296296296296
Andhra Pradesh,19,Srikakulam,1413726,503114,543763,0,1046877,0,7763,1054640,74.6000285769661,71.699812596641,77.0378230729671,0
Andhra Pradesh,20,Vizianagaram,1403736,554616,564891,0,1119507,0,6108,1125615,80.187086460702,79.3444330312819,80.3834961472511,0
Andhra Pradesh,21,Visakhapatnam,1723011,583232,576946,0,1160178,0,3404,1163582,67.5318961979929,66.8090136818086,68.0625715195772,0
Andhra Pradesh,22,Anakapalli,1401474,561825,582294,1,1144120,0,5206,1149326,82.0083711863367,81.6475563500022,81.7785005856429,1.5625
Andhra Pradesh,23,Kakinada,1418290,555263,538635,35,1093933,0,7797,1101730,77.6801641413251,78.3285135916715,75.9764440369561,25.5474452554745
Andhra Pradesh,24,Amalapuram ,1357865,565013,548900,1,1113914,0,8072,1121986,82.6286854731509,82.8028940777509,81.310688600357,1.96078431372549
Andhra Pradesh,25,Rajahmundry,1421276,575432,574132,11,1149575,0,7051,1156626,81.3794083626263,81.4105856171312,80.4256255016691,10.6796116504854
Andhra Pradesh,26,Narsapuram,1325028,536507,546670,0,1083177,0,5925,1089102,82.194640415146,82.2670446965666,81.337477551737,0
Andhra Pradesh,27,Eluru ,1427764,600526,594189,5,1194720,0,8516,1203236,84.2741517505694,84.9854660624775,82.4570776737293,6.75675675675676
